feature,importance
num__emb_6,0.06327897
num__emb_7,0.032418273
num__emb_2,0.0249736
num__zipf_value,0.020194776
num__emb_1,0.018989865
num__log_freq,0.01885799
cat__POS_CD,0.018241502
num__emb_0,0.016450545
num__emb_27,0.015705002
num__emb_30,0.015517592
num__emb_29,0.014538456
num__emb_8,0.0142720705
num__emb_20,0.014157604
cat__POS_NN,0.013832146
num__emb_32,0.013732219
num__emb_16,0.013618989
cat__POS_VB,0.013340437
num__emb_42,0.0133375535
num__emb_19,0.013183179
num__emb_22,0.012895055
num__emb_44,0.01288947
num__emb_14,0.0128673185
num__emb_21,0.012853044
num__emb_11,0.012724371
num__emb_28,0.0126341
num__emb_17,0.012535135
num__emb_37,0.012518134
num__emb_39,0.012409907
num__emb_10,0.0122564295
num__emb_34,0.012223112
num__emb_15,0.012182349
num__emb_33,0.012130583
num__emb_9,0.012112549
num__emb_3,0.012107051
num__emb_45,0.01203334
num__emb_18,0.012019063
num__emb_26,0.011991838
num__emb_5,0.011941173
num__emb_12,0.01192574
num__emb_23,0.011908681
num__emb_47,0.01167937
num__emb_4,0.011546958
num__emb_46,0.011474841
num__emb_25,0.011302112
num__emb_43,0.011218631
num__emb_24,0.01116644
num__emb_38,0.011165949
num__emb_49,0.0111143645
num__emb_35,0.011068679
num__emb_40,0.011057992
num__emb_36,0.011042408
num__emb_48,0.011030801
num__emb_31,0.011010675
num__emb_13,0.01098894
num__suf_ive,0.010822469
num__emb_41,0.010573691
num__is_multiword,0.010295212
num__syllables,0.0097534405
num__pref_mis,0.00874599
num__pref_im,0.008593533
num__pref_un,0.008533331
num__pref_pre,0.008495511
cat__POS_UH,0.00848203
num__suf_able,0.008209487
num__len_chars,0.008073723
num__suf_ness,0.007806214
num__suf_ous,0.007781067
num__suf_less,0.0076764883
cat__POS_TO,0.006546768
num__pref_non,0.0065405522
cat__POS_WP,0.006228644
num__suf_ity,0.005974909
num__pref_in,0.0059599243
cat__POS_JJ,0.0058439723
cat__POS_EX,0.0058286907
num__suf_tion,0.005541074
num__pref_dis,0.005049399
num__pref_re,0.005000121
cat__POS_RB,0.00463913
num__suf_ment,0.0044416543
cat__POS_IN,0.004246398
cat__POS_FW,0.0041904864
cat__POS_MD,0.0034012957
cat__POS_PRP,0.002616294
cat__POS_PRP$,0.002574665
cat__POS_DT,0.002156368
cat__POS_CC,0.0019965621
cat__POS_RH,0.0014852204
cat__POS_RP,0.0012283693
cat__POS_ NN,0.0
cat__POS_PR,0.0
cat__POS_WDT,0.0
cat__POS_PDT,0.0
cat__POS_WP$,0.0
cat__POS_WRB,0.0
cat__POS_XX,0.0
